category,title,status,local_file,live_source
Local packet,Charlie Kirk / Tyler Robinson Redacted Evidence Packet,Included,Charlie_Kirk_Tyler_Robinson_Redacted_Evidence_Packet.pdf,
Primary archive,Tyler Robinson Search Warrant Affidavits,Live source,,https://andreaburkhart.substack.com/p/tyler-robinson-search-warrant-affidavits
Primary archive,Charlie Kirk Legal Documents,Live source,,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Court filing,State Memorandum in Support of Preliminary Hearing Bindover,Live archive entry,,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Court filing,Defendant Tyler James Robinson Preliminary Hearing Briefing,Live archive entry,,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Court filing,State Reply Supporting Preliminary Hearing Bindover,Live archive entry,,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Court ruling,Ruling and Order on Preliminary Hearing Bindover 9-2-26,Live archive entry,,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Transcript,Final Preliminary Hearing / Sept. ruling transcript,Live source,,https://www.rev.com/transcripts/ut-v-tyler-robinson-final-preliminary-hearing

"Day 4 transcript — Cellebrite/text authentication","https://www.rev.com/transcripts/ut-v-tyler-robinson-preliminary-hearing-day-4"
"Day 4 recap — 4:33 p.m. / 11:00 p.m. issue","https://cforc.com/2026/07/tyler-robinson-preliminary-hearing-day-4-recap/"
"Utah Rule 26 — stipulations","https://legacy.utcourts.gov/rules/view.php?rule=26&type=urcrp"
