section,title,links,iframes,script_synced
1,What the judge ruled — and did not rule,9,3,YES
2,What has the defense actually conceded — and what does “not guilty” mean?,6,2,YES
3,Warrant map and document library,15,1,YES
4,Prosecution timeline and surveillance chain,8,6,YES
5,"The note, texts, Discord and Lance Twiggs",12,7,YES
6,"DNA: enormous likelihood ratios, real limits",10,5,YES
7,"Rifle, projectile fragment, cartridges and toolmarks",14,11,YES
8,Capital aggravator and third-party risk,8,4,YES
9,“Ask for a lawyer and stay silent”,6,3,YES
10,"Candace Owens, Baron Coleman and outside-court skepticism",6,4,YES
11,"Andrew Wilson, Andrew Kolvet, Frank Turek and prosecution-friendly commentary",7,2,YES
12,Prosecution-side vulnerability ledger,4,1,YES
13,Defense / innocence-theory vulnerability ledger,4,1,YES
14,Lance Twiggs: questions that can be asked without accusing him,6,3,YES
15,Missing records that could materially change the public picture,3,0,YES
16,Two-pass verification: claims that need narrower wording,8,5,YES
17,What a clean-slate investigation would demand,3,0,YES
18,Where the case stands now,6,3,YES
