section,topic,receipt_count,label,url
Intro,Case framing and archive orientation,3,Warrant archive,https://andreaburkhart.substack.com/p/tyler-robinson-search-warrant-affidavits
Intro,Case framing and archive orientation,3,Legal-doc archive,https://andreaburkhart.substack.com/p/charlie-kirk-legal-documents
Intro,Case framing and archive orientation,3,TriggerSmart all 5 days condensed,https://www.youtube.com/watch?v=F5bZHLuANUU&t=0s
1,What the court actually decided,4,Final hearing transcript,https://www.rev.com/transcripts/ut-v-tyler-robinson-final-preliminary-hearing
1,What the court actually decided,4,Utah Rule of Evidence 1102,https://legacy.utcourts.gov/rules/view.php?rule=1102&type=ure
1,What the court actually decided,4,Utah Rule of Criminal Procedure 7B,https://legacy.utcourts.gov/rules/view.php?rule=7B&type=urcrp
1,What the court actually decided,4,TriggerSmart ruling 3:19:03,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=11943s
2,"State storyline, timeline and surveillance",4,State bindover memo Dkt 702,https://andreaburkhart.substack.com/api/v1/file/b751fcf7-c7dd-447b-bfd8-59b76408afc0.pdf
2,"State storyline, timeline and surveillance",4,TriggerSmart Hall of Flags 2:00:01,https://www.youtube.com/watch?v=F5bZHLuANUU&t=7201s
2,"State storyline, timeline and surveillance",4,TriggerSmart staircase 2:51:26,https://www.youtube.com/watch?v=F5bZHLuANUU&t=10286s
2,"State storyline, timeline and surveillance",4,Candace timeline filing review 30:32,https://www.youtube.com/watch?v=eLgD5yUVbko&t=1832s
3,"Warrant map, geofence, tower dump and missing returns",4,Warrant archive,https://andreaburkhart.substack.com/p/tyler-robinson-search-warrant-affidavits
3,"Warrant map, geofence, tower dump and missing returns",4,TriggerSmart warrant execution 5:06:14,https://www.youtube.com/watch?v=F5bZHLuANUU&t=18374s
3,"Warrant map, geofence, tower dump and missing returns",4,Baron Ep 162 secondary transcript,https://survivorbb.rapeutation.com/viewtopic.php?f=206&start=250&t=4652
3,"Warrant map, geofence, tower dump and missing returns",4,Google Trends methodology FAQ,https://support.google.com/trends/answer/4365533?hl=en
4,DNA — likelihood ratios and source/activity limits,4,Final hearing transcript,https://www.rev.com/transcripts/ut-v-tyler-robinson-final-preliminary-hearing
4,DNA — likelihood ratios and source/activity limits,4,TriggerSmart FBI DNA analyst 4:05:53,https://www.youtube.com/watch?v=F5bZHLuANUU&t=14753s
4,DNA — likelihood ratios and source/activity limits,4,TriggerSmart DNA limits 4:14:12,https://www.youtube.com/watch?v=F5bZHLuANUU&t=15252s
4,DNA — likelihood ratios and source/activity limits,4,TriggerSmart rifle DNA results 9:01:31,https://www.youtube.com/watch?v=F5bZHLuANUU&t=32491s
5,"Ballistics, fragment, rifle and Dremel",5,ATF report in defense motion,https://cdn01.dailycaller.com/wp-content/uploads/2026/04/tyler-robinson-ballistics-motion.pdf
5,"Ballistics, fragment, rifle and Dremel",5,TriggerSmart ATF examiner 7:15:12,https://www.youtube.com/watch?v=F5bZHLuANUU&t=26112s
5,"Ballistics, fragment, rifle and Dremel",5,TriggerSmart inconclusive result 7:50:04,https://www.youtube.com/watch?v=F5bZHLuANUU&t=28204s
5,"Ballistics, fragment, rifle and Dremel",5,Baron / Julian Dorey .30-06 1:34:17,https://www.youtube.com/watch?v=xUPHImKLbRY&t=5657s
5,"Ballistics, fragment, rifle and Dremel",5,Baron testing 1:48:14,https://www.youtube.com/watch?v=xUPHImKLbRY&t=6494s
6,"Lance Twiggs, George Zinn and accomplice theories",4,Warrant archive — Lance/Apple warrants,https://andreaburkhart.substack.com/p/tyler-robinson-search-warrant-affidavits
6,"Lance Twiggs, George Zinn and accomplice theories",4,TriggerSmart Lance interview 5:34:31,https://www.youtube.com/watch?v=F5bZHLuANUU&t=20071s
6,"Lance Twiggs, George Zinn and accomplice theories",4,TriggerSmart Dremel 5:37:14,https://www.youtube.com/watch?v=F5bZHLuANUU&t=20234s
6,"Lance Twiggs, George Zinn and accomplice theories",4,Baron Tyler/Lance discussion 1:34:17,https://www.youtube.com/watch?v=xUPHImKLbRY&t=5657s
7,"Messages, note, authentication and surrender",5,State bindover memo Dkt 702,https://andreaburkhart.substack.com/api/v1/file/b751fcf7-c7dd-447b-bfd8-59b76408afc0.pdf
7,"Messages, note, authentication and surrender",5,TriggerSmart text evidence 5:47:30,https://www.youtube.com/watch?v=F5bZHLuANUU&t=20850s
7,"Messages, note, authentication and surrender",5,TriggerSmart alleged responsibility texts 5:53:32,https://www.youtube.com/watch?v=F5bZHLuANUU&t=21212s
7,"Messages, note, authentication and surrender",5,TriggerSmart handwritten note 6:03:54,https://www.youtube.com/watch?v=F5bZHLuANUU&t=21834s
7,"Messages, note, authentication and surrender",5,Candace vs Andrew text debate 1:25:44,https://www.youtube.com/watch?v=aPOyk1i2LOc&t=5144s
8,"Aggravators, child enhancement, witness tampering and targeting",5,Defense briefing Dkt 706,https://andreaburkhart.substack.com/api/v1/file/1d3ce795-67cd-4dcb-bb72-a78e64551a42.pdf
8,"Aggravators, child enhancement, witness tampering and targeting",5,State reply Dkt 712,https://andreaburkhart.substack.com/api/v1/file/6ed59130-62a7-479a-853c-621cde405142.pdf
8,"Aggravators, child enhancement, witness tampering and targeting",5,TriggerSmart defense great-risk 1:44:09,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=6249s
8,"Aggravators, child enhancement, witness tampering and targeting",5,TriggerSmart defense tampering 2:17:15,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=8235s
8,"Aggravators, child enhancement, witness tampering and targeting",5,TriggerSmart judge great-risk ruling 3:49:16,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=13756s
9,Social-media evidence audit,5,Candace Ep 319 opening 1:28,https://www.youtube.com/watch?v=UYkXV9mYbT4&t=88s
9,Social-media evidence audit,5,Baron / Julian Dorey Google Trends 1:17:36,https://www.youtube.com/watch?v=xUPHImKLbRY&t=4656s
9,Social-media evidence audit,5,Paramount Tactical evidence stream,https://rumble.com/v7ezy4m-the-tyler-robinson-patsy-theory-has-a-problem-the-evidence.html
9,Social-media evidence audit,5,DataRepublican thread mirror,https://twitter-thread.com/t/2075384791080280453
9,Social-media evidence audit,5,Frank Turek public reaction mirror,https://site.twstalker.com/DrFrankTurek
10,Final holes ledger — what each side still has to prove,4,Ruling Dkt 739,https://andreaburkhart.substack.com/api/v1/file/f1bcada6-904e-4977-9d16-594d1f50b257.pdf
10,Final holes ledger — what each side still has to prove,4,Defense discovery status Dkt 728,https://andreaburkhart.substack.com/api/v1/file/cd14df85-2717-490d-b335-9cf408d937d2.pdf
10,Final holes ledger — what each side still has to prove,4,TriggerSmart State DNA rebuttal 3:09:34,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=11374s
10,Final holes ledger — what each side still has to prove,4,TriggerSmart final bindover 4:19:36,https://www.youtube.com/watch?v=WdkYw2YvmaA&t=15576s
